"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_RaidTimeEnabled","Raid time is enabled, the raid is not available at this time, check out the information about the server.","Raid time is enabled, the raid is not available at this time, check out the information about the server.","Razie je povolena, v tuto chvíli není nálet k dispozici, podívejte se na informace serveru.","Die Raid-Zeit ist aktiviert, der Raid ist derzeit nicht verfügbar, bitte lesen Sie die Serverinformationen.","Рейд-тайм включен, в данное время рейд не доступен, ознакомьтесь с информацией о сервере.","RAID Time jest włączony, w tej chwili RAID nie jest dostępny, sprawdź informacje o serwerze.","A Raid idő engedélyezve van, a raid jelenleg nem érhető el, nézze meg a szerverre vonatkozó információkat.","Il raid Time è abilitato, il raid non è disponibile in questo momento, controlla le informazioni sul server.","El tiempo de RAID está activado, el tiempo de RAID no está disponible en este momento, consulte la información del servidor.","RAID Time est activé, le RAID n'est pas disponible pour le moment, consultez les informations sur le serveur.","Raid时间已启用，此时raid不可用，查看有关服务器的信息。","Raid時間が有効になっている、raidは、この時点では利用できません、サーバーに関する情報をチェックしてください。","O RAID time está ativado, o RAID não está disponível no momento, consulte as informações do servidor.","Raid时间已启用，此时raid不可用，查看有关服务器的信息。",
"STR_RaidGateOnlyEnabled","The raid is only accessible through a gate with an existing lock.","The raid is only accessible through a gate with an existing lock.","Nájezd je přístupný pouze po bráně s dostupným zámkem.","Der Überfall ist nur über ein Tor mit einem vorhandenen Schloss zugänglich.","Рейд доступен только по воротам с имеющимся замком.","Nalot jest dostępny tylko przy bramie z istniejącym zamkiem.","A raid csak egy meglévő zárral rendelkező kapun keresztül érhető el.","Il raid è accessibile solo al cancello con un lucchetto disponibile.","La incursión solo está disponible a través de una puerta con una Cerradura existente.","Le RAID n'est accessible que par la porte avec la serrure disponible.","Raid只能通过带有现有锁的门访问。","Raidは、既存のロック付きのゲートを介してのみアクセスできます。","O ataque está disponível apenas no portão com um castelo existente.","Raid只能通过带有现有锁的门访问。",
"STR_RaidMeleeDisabled","Melee weapon raid is disabled on this server.","Melee weapon raid is disabled on this server.","Nálet zbraní na blízko je na tomto serveru zakázán.","Der Schlachtzug mit Nahkampfwaffen ist auf diesem Server deaktiviert.","Рейд оружием ближнего боя отключен на данном сервере.","RAID bronią białą jest wyłączony na tym serwerze.","Közelharci fegyver raid le van tiltva ezen a szerveren.","Il raid con armi da mischia è disabilitato su questo server.","La incursión de armas cuerpo a cuerpo está desactivada en este servidor.","Le RAID de mêlée est désactivé sur ce serveur.","此服务器上禁用近战武器raid。","このサーバーでは近接武器の襲撃が無効になっています。","Ataque corpo a corpo está Desativado neste servidor.","此服务器上禁用近战武器raid。",
"STR_RaidNotificationTitle","Information","Information","Informace","Information","Информация","Informacje","Információ","Informazione","Información","Information","资料","情報","Informação","资料",
"STR_BLANKNotification_RaidEnabled","Raid: Allowed.","Raid: Allowed.","Razie: Povoleno.","Überfall: Erlaubt.","Рейд: Разрешен.","RAID: Dozwolone.","Rajtaütés: Megengedett.","RAID: Consentito.","RAID: Permitido.","RAID: Autorisé.","Raid：允许。","レイド：許可されています。","Invasão: Permitida.","Raid：允许。",
"STR_BLANKNotification_RaidDisabled","Raid time is active, the raid is completely disabled.","Raid time is active, the raid is completely disabled.","Razie je aktivní, nájezd je zcela vypnutý.","Die Raid-Zeit ist aktiv, der Raid ist vollständig deaktiviert.","Рейд-тайм активен, рейд полностью отключён.","RAID Time jest aktywny, Raid jest całkowicie wyłączony.","A raid idő aktív, a raid teljesen le van tiltva.","Il raid Time è attivo, il raid è completamente disabilitato.","RAID Time está activo, RAID está completamente desactivado.","RAID Time est actif, RAID est complètement désactivé.","Raid时间处于活动状态，raid完全禁用。","Raid時間はアクティブで、raidは完全に無効になっています。","O RAID time está activo, o RAID está completamente desligado.","Raid时间处于活动状态，raid完全禁用。",
"STR_BLANKNotification_GateOnlyEnabled","Raid gate: Prohibited.","Raid gate: Prohibited.","Nájezdová brána: zakázáno.","Überfallstor: Verboten.","Рейд-ворота: Запрещено.","RAID Gate: zabronione.","Raid kapu: tilos.","RAID Gate: vietato.","Puerta de entrada: Prohibido.","RAID-porte: Interdit.","突袭门：禁止。","レイドゲート：禁止されています。","Portão de entrada: proibido.","突袭门：禁止。",
"STR_BLANKNotification_GateOnlyDisabled","Raid gate: Allowed.","Raid gate: Allowed.","Nájezdová brána: povoleno.","Überfallstor: Erlaubt.","Рейд-ворота: Разрешено.","RAID Gate: dozwolone.","Raid kapu: megengedett.","RAID Gate: consentito.","RAID-puerta: Permitido.","RAID-Gate: Autorisé.","突袭门:允许.","レイドゲート:許可されています.","Portão de entrada: permitido.","突袭门:允许.",
"STR_BLANKNotification_MeleeEnabled","With edged weapons: Allowed.","With edged weapons: Allowed.","Studené zbraně: povoleno.","Mit kalten Waffen: Erlaubt.","Холодным оружием: Разрешено.","Broń biała: dozwolone.","Szélű fegyverekkel: megengedett.","Armi da mischia: consentite.","Armas blancas: Permitido.","Armes blanches: Autorisées.","带刃武器：允许。","刃付き武器：許可されています。","Armas brancas: permitido.","带刃武器：允许。",
"STR_BLANKNotification_MeleeDisabled","Edged weapons: Prohibited.","Edged weapons: Prohibited.","Studené zbraně: zakázáno.","Mit kalten Waffen: Verboten.","Холодным оружием: Запрещено.","Broń biała: zabronione.","Szélű fegyverek: tilos.","Armi da mischia: vietate.","Armas blancas: Prohibido.","","刃武器：禁止。","刃付き武器：禁止されています。","Armas brancas: proibido.","刃武器：禁止。",
